Ref_Date,Unadjusted,Seasonally_adjusted,Stock_Exchange_value,Dow_Jones_index,"Standard and Poor's (500), 1941-43=10 (index)",Unemployment,GDP
01/08,26322941,25017925,54310,9949.8,1133.58,1235.8,1256046
01/09,24263969,24703734,68541,8847.6,1040.94,1063.4,1248547
01/10,24917747,25149772,59158,9075.1,1059.78,1081.9,1253408
01/11,26048646,25657476,54793,9851.6,1139.45,1150.4,1260530
01/12,30481412,26124705,49138,10021.5,1148.08,1225.4,1258156
02/01,22361219,26496729,58201.3,9920,1130.2,1402.7,1270642
02/02,20787209,26105990,55120.8,10106.1,1106.73,1359.9,1276616
02/03,24642692,26072633,62822.4,10403.9,1147.39,1354.4,1274492
02/04,26405170,26657565,60395.6,9946.2,1076.92,1305,1282839
02/05,29087583,26165998,55185.6,9925.2,1067.14,1311.6,1284200
02/06,28363263,26768924,54834.3,9243.3,989.82,1190.8,1285284
02/07,27912328,26620588,53760.6,8736.6,911.62,1320.9,1290066
02/08,28202300,26767279,41857.1,8663.5,916.07,1312.5,1294832
02/09,26054411,26620259,45334.6,7591.9,815.28,1153.4,1291955
02/10,27131743,27061844,56806.3,8397,885.76,1150.2,1299960
02/11,27276942,27015215,45772.5,8896.1,936.31,1188.1,1299740
02/12,31300554,27172388,47617.5,8341.6,879.82,1182.6,1296349
03/01,23301871,27137545,57032.4,8053.8,855.7,1335.7,1303738
03/02,21980804,27622538,43829.2,7891.1,841.15,1316.1,1307841
03/03,25468203,27275170,46883.7,7992.1,848.18,1300.8,1307066
03/04,27059495,27176306,44222.7,8480.1,916.92,1319.3,1303193
03/05,30417563,27484615,49847.9,8850.3,963.59,1361.9,1307320
03/06,28912102,27569750,56550.2,9021.5,974.5,1225.6,1311369
03/07,29492832,27707861,55333,9233.8,990.31,1361,1318232
03/08,29102135,28020755,47794.6,9415.8,1008.01,1408.3,1305552
03/09,27467571,27841344,61714.9,9275.1,995.97,1232.7,1321458
03/10,28223631,27825024,64084.4,9801.1,1050.71,1173.3,1326973
03/11,27391422,27777531,55358,9782.5,1058.2,1198.7,1328084
03/12,32325789,27704978,66003,10453.9,1111.92,1166.5,1333319
04/01,23778728,27935993,84253,10488.1,1131.13,1327.7,1335250
